name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Nautilus,Automatic,White gold,2005,Very good,3711/1G-001,"Original box, original papers","Italy, Riccione",42 mm,Price on request
Patek Philippe Nautilus,Quartz,Rose gold,2011,Very good,7010/1R-001,"Original box, original papers","Switzerland, Lugano",32 mm,"$71,393"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5712-1R-001,"Original box, original papers","Germany, Bamberg",40 mm,"$222,601"
Patek Philippe Calatrava,Automatic,Yellow gold,2016,Very good,5227J-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$36,260"
Patek Philippe Nautilus,Automatic,Steel,2020,Unworn,5990/1A-001,"Original box, original papers","United Kingdom, London",40.5 mm,"$195,499"
Patek Philippe Aquanaut,Automatic,Rose gold,2013,Good,5167R-001,"No original box, no original papers","United States of America, New York, New York",40 mm,"$78,000"
Patek Philippe Perpetual Calendar Chronograph,Automatic,White gold,2012,Very good,5270G-001,"Original box, original papers","United States of America, New York, Great Neck",41 mm,"$149,999"
Patek Philippe Nautilus,Automatic,Steel,2018,Very good,5726A-001,"Original box, original papers","Sweden, Stockholm",40.5 mm,"$76,154"
Patek Philippe Calatrava,Quartz,Yellow gold,1990,Very good,4819,"Original box, no original papers","United States of America, Colorado, Loveland",25 x 5 mm,"$6,454"
Patek Philippe Calatrava,Automatic,White gold,2013,Good,6000G-010,"Original box, original papers","Japan, 明石市",37 mm,"$27,534"
Patek Philippe Calatrava,Manual winding,Yellow gold,2000,Very good,-,"Original box, original papers","Japan, Ota-ku",33.4 mm,"$12,312"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,5396R-011,"Original box, original papers","Hong Kong, 999077",38 x 38.5 mm,"$37,603"
Patek Philippe Calatrava,Manual winding,Yellow gold,1945,Very good,96,"No original box, no original papers","United States of America, New York, New York",-,"$9,900"
Patek Philippe Calatrava,Manual winding,White gold,2020,Good,7119G-010,"No original box, no original papers","Hong Kong, Kwun Tong",31 mm,"$11,565"
Patek Philippe Aquanaut,Automatic,White gold,2024,Unworn,5968G-001,"Original box, original papers","Germany, Düsseldorf",42.2 mm,"$140,309"
Patek Philippe Aquanaut,-,Rose gold,2024,Unworn,5269R-001,"Original box, original papers","United States of America, Florida, Miami",38.8 mm,"$88,999"
Patek Philippe Aquanaut,Automatic,White gold,2019,Unworn,5168G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$195,000"
Patek Philippe Twenty~4,Quartz,Steel,-,Fair,4910/10A-011,"No original box, no original papers","Germany, Hamburg",25 x 30 mm,"$6,125"
Patek Philippe Chronograph,Manual winding,Platinum,2019,Very good,5170P-001,"Original box, original papers","Denmark, Hellerup",39.4 mm,"$133,313"
Patek Philippe World Time Chronograph,Automatic,Steel,2024,Unworn,5935A-001,"Original box, original papers","United States of America, Florida, Miami",41 mm,"$72,270"
Patek Philippe Nautilus,Automatic,Gold/Steel,1988,Very good,3800/1,"No original box, no original papers","United Kingdom, London",37 mm,"$38,774"
Patek Philippe Nautilus,Automatic,Steel,2021,New,5711/1A-014,"Original box, original papers","Austria, Wien",40 mm,"$300,104"
Patek Philippe Aquanaut,-,-,-,Very good,5165,"Original box, no original papers","United States of America, New York, Huntington",38 mm,"$37,992"
Patek Philippe Annual Calendar,Automatic,Rose gold,2024,Unworn,4947R-001,"Original box, original papers","United States of America, Florida, Miami",38 mm,"$64,475"
Patek Philippe Annual Calendar,Automatic,Rose gold,2023,Unworn,5205R-011,"Original box, original papers","Spain, Madrid",40 mm,"$73,495"
Patek Philippe Aquanaut,Automatic,Rose gold,2023,New,5968R-001,"Original box, original papers","United Kingdom, London",42 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,-,-,5327J-001,"No original box, no original papers","United States of America, Texas, Austin",39 mm,Price on request
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,1578,"No original box, no original papers","United States of America, New York, New York",35 mm,"$17,995"
Patek Philippe Aquanaut,Automatic,Rose gold,2020,Very good,5167R-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Ellipse,-,Yellow gold,2022,Very good,4224,"Original papers, no original box","Denmark, Aarhus C",-,"$10,432"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2023,Unworn,5905R-001,"Original box, original papers","France, Paris",42 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,2010,Very good,5396G-001,"Original box, original papers","United States of America, New York, Hartsdale",38.5 mm,"$41,500"
Patek Philippe Calatrava,Manual winding,Red gold,1944,-,1594,"No original box, no original papers","United States of America, California, West Hollywood",30.5 mm,"$25,000"
Patek Philippe Nautilus,Automatic,Steel,2018,Unworn,5711/1A-010,"Original box, original papers","United Kingdom, LONDON",40 x 38 mm,"$129,941"
Patek Philippe Nautilus,Quartz,Rose gold,2023,New,7010/1R-013,"Original box, original papers","United Kingdom, London",32 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5205G-013,"Original box, no original papers","Japan, Shinjuku-ku",40 mm,"$43,924"
Patek Philippe Aquanaut,Automatic,White gold,2022,Very good,5968G-010,"Original box, original papers","Germany, Düsseldorf",42.2 mm,"$116,924"
Patek Philippe Calatrava,Automatic,Steel,2021,Very good,5212A-001,"Original box, original papers","Italy, Roma",40 mm,"$42,315"
Patek Philippe Nautilus,Automatic,Rose gold,-,Very good,5980R-001,"No original box, no original papers","United States of America, New York, New York",40.5 mm,"$98,000"
Patek Philippe Aquanaut,Automatic,White gold,2023,Unworn,5968G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$129,000"
Patek Philippe Nautilus,Automatic,Steel,2010,Very good,5711 1A-001,"Original box, original papers","Germany, Kesselsdorf",40 x 38 mm,"$105,788"
Patek Philippe Nautilus,Automatic,Steel,2019,Unworn,5726A-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$74,850"
Patek Philippe Annual Calendar,Automatic,White gold,-,Unworn,4947G-010,"Original box, original papers","United States of America, New York, New York",38 mm,"$59,495"
Patek Philippe Calatrava,Manual winding,Yellow gold,1990,Very good,3919J,"No original box, no original papers","Belgium, KNOKKE-LE-ZOUTE",33 mm,"$10,033"
Patek Philippe Nautilus,Quartz,Gold/Steel,1990,Very good,4700/1,"Original box, no original papers","France, BOURGES",27 mm,"$8,897"
Patek Philippe Gondolo,Manual winding,Rose gold,2021,New,5489R,"Original box, original papers","Denmark, Hvidovre",-,"$23,132"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2015,Very good,5905P-001,"Original box, original papers","United Kingdom, London",42 mm,"$72,849"
Patek Philippe,Manual winding,Yellow gold,1945,Good,1438,"No original box, no original papers","Italy, roma",24 x 34 mm,"$13,920"
Patek Philippe Nautilus,Automatic,Steel,2022,New,5711/1A-018,"Original box, original papers","UAE, Dubai",40 mm,"$1,640,000"
Patek Philippe Calatrava,Automatic,Rose gold,2018,Very good,5077/100R-038,"Original box, original papers","Belgium, KNOKKE-LE-ZOUTE",38 mm,"$135,743"
Patek Philippe Calatrava,Automatic,White gold,2023,New,5924G-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$84,000"
Patek Philippe Nautilus,Automatic,Rose gold,2021,New,5990/1R-001,"Original box, original papers","United Kingdom, London",40.5 mm,Price on request
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3514,"No original box, no original papers","United States of America, New York, Forest Hills",35 mm,"$14,500"
Patek Philippe Chronograph,Manual winding,Rose gold,-,Unworn,5070R,"Original box, original papers","United States of America, New York, New York",42 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2019,Unworn,5726/1A-014,"Original box, original papers","Germany, Oberpframmern / München",40.5 mm,"$131,957"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2022,New,5270P-014,"Original box, original papers","Spain, Madrid",41 mm,"$174,272"
Patek Philippe Aquanaut,Automatic,White gold,2024,Unworn,5968G-010,"Original box, original papers","Spain, Madrid",42.2 mm,"$142,536"
Patek Philippe,Manual winding,White gold,2014,Very good,5270G-001,"Original box, original papers","United States of America, New York, New York",41 mm,"$121,999"
Patek Philippe Nautilus,Automatic,Rose gold,2024,New,5712R-001,"Original box, original papers","UAE, Dubai",40 x 38 mm,"$126,000"
Patek Philippe Annual Calendar,Automatic,White gold,2010,Very good,5205,"Original papers, no original box","France, Paris",40 mm,"$58,362"
Patek Philippe Chronograph,Manual winding,Yellow gold,1951,Very good,1579,"No original box, no original papers","United States of America, New York, New York",36 mm,"$125,000"
Patek Philippe Vintage,Manual winding,Yellow gold,1945,Very good,1560,"No original box, no original papers","The Netherlands, Amsterdam",22 mm,"$13,864"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5226G-001,"Original box, original papers","Hong Kong, HONG KONG",40 mm,"$46,929"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Good,96,"No original box, no original papers","United States of America, New York, New York",31 mm,"$11,000"
Patek Philippe Calatrava,Automatic,White gold,2020,Good,5524G-001,"Original box, original papers","United Kingdom, Wimbledon",42 mm,"$40,402"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,3919/8G,"No original box, no original papers","United States of America, Florida, Boca Raton",33 mm,"$18,800"
Patek Philippe Chronograph,Manual winding,Rose gold,2021,Unworn,7150/250R-001,"Original box, original papers","Malaysia, Kuala Lumpur",38 mm,"$60,070"
Patek Philippe Perpetual Calendar,Automatic,White gold,2002,Very good,5059G,"Original box, original papers","United States of America, New York, New York",36 mm,"$47,900"
Patek Philippe Aquanaut,Automatic,Steel,2019,New,5167/1A-001,"Original box, original papers","Switzerland, Genève",40 mm,"$74,609"
Patek Philippe Twenty~4,Quartz,White gold,2004,Very good,4910/20G-011,"Original box, original papers","Italy, Castellanza (VARESE)",25 mm,"$24,387"
Patek Philippe Nautilus,Automatic,Rose gold,2012,Very good,5980R-001,"Original box, original papers","Germany, Hannover",40.5 mm,"$116,923"
Patek Philippe Nautilus,Automatic,Steel,2019,Very good,5990/1A-001,"Original box, original papers","United States of America, Florida, Miami Beach",40.5 mm,"$125,000"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,7968/300R-001,"Original box, original papers","United States of America, Massachusetts, Boston",30 mm,"$399,900"
Patek Philippe Celestial,Automatic,Rose gold,-,Unworn,6102R-001,"Original box, original papers","United States of America, New York, NEW YORK",44 mm,"$325,500"
Patek Philippe Calatrava,Automatic,White gold,1970,Very good,3445,"No original box, no original papers","Austria, Wien",35 mm,"$23,942"
Patek Philippe Twenty~4,Automatic,Rose gold,-,New,7300,"Original box, original papers","United States of America, Florida, Boca Raton",36 mm,"$55,888"
Patek Philippe Nautilus,Automatic,Rose gold,2021,Very good,5980/1R-001,"Original box, original papers","Australia, Sydney",40.5 mm,"$219,516"
Patek Philippe Twenty~4,Quartz,Steel,2023,Very good,4910/1200A-011,"Original box, original papers","United Kingdom, North Yorkshire",25.1 x 30 mm,"$13,358"
Patek Philippe Annual Calendar,Automatic,White gold,2013,Good,5205G-001,"Original papers, no original box","Taiwan, Taipei",40 x 49 mm,"$32,400"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,4934R,"No original box, no original papers","United States of America, Georgia, Atlanta",35 mm,"$26,860"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2019,Very good,5905P-010,"Original box, original papers","Japan, Tokyo,",42 mm,"$64,902"
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,1990,Very good,3978,"Original box, original papers","Portugal, Lisboa","28,5 x 33,5 mm","$20,267"
Patek Philippe Calatrava,Manual winding,Steel,-,Very good,3483,"No original box, no original papers","United States of America, California, Beverly Hills",35 mm,"$22,000"
Patek Philippe Nautilus,Automatic,Rose gold,2023,New,5712/1R-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$225,500"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4910/20G,"No original box, no original papers","United States of America, Florida, Surfside",25 x 26 mm,"$35,880"
Patek Philippe Nautilus,Automatic,Steel,2012,Very good,5711/1A-011,"Original box, original papers","Italy, Riccione",41 x 38 mm,"$101,111"
Patek Philippe Complications,Manual winding,White gold,-,Unworn,5172G-010,"Original box, original papers","United States of America, New York, NEW YORK",41 mm,"$78,000"
Patek Philippe Annual Calendar,Automatic,-,-,Very good,5205R-010,"Original box, original papers","United States of America, California, Beverly Hills",40 mm,"$50,440"
Patek Philippe Travel Time,Automatic,White gold,2020,Very good,5524G-001,"Original box, original papers","Australia, Newcastle",42 mm,"$36,256"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5711,"Original box, original papers","United States of America, New York, Great Neck",27 mm,"$109,999"
Patek Philippe Nautilus,-,Rose gold,2009,-,5712R-001,"Original box, original papers","United States of America, Texas, Dallas",40 mm,"$88,810"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,5164R-001,"Original box, original papers","United States of America, New York, New York",40.8 mm,"$125,250"
Patek Philippe Vintage,Manual winding,Yellow gold,1949,Very good,2406,"No original box, no original papers","Switzerland, Lugano",34 mm,"$18,589"
Patek Philippe,Quartz,Yellow gold,-,Very good,3982/1J,"No original box, no original papers","United States of America, Georgia, Atlanta",32 mm,"$30,290"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3445,"No original box, no original papers","Austria, Baden bei Wien",35 mm,"$14,254"
Patek Philippe Nautilus,Automatic,Steel,2016,Very good,5990/1A-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$125,000"
Patek Philippe Calatrava,Automatic,Rose gold,2000,Very good,5000R-001,"Original papers, no original box","United Kingdom, Littlewick Green",-,"$21,505"
Patek Philippe Annual Calendar Chronograph,Manual winding,Rose gold,2023,Unworn,5961R-001,"Original box, original papers","Switzerland, Geneva",40.5 mm,Price on request
Patek Philippe,Manual winding,Rose gold,1946,Unworn,2416,"Original papers, no original box","Switzerland, lugano",-,"$16,692"
Patek Philippe Calatrava,Manual winding,Rose gold,2021,Unworn,6119R-001,"Original box, original papers","United Kingdom, London, Edinburgh and North England",39 mm,"$43,498"
Patek Philippe Aquanaut,Automatic,White gold,2023,Unworn,5168G-001,"Original box, original papers","United States of America, Florida, Miami",42.2 mm,"$82,000"
Patek Philippe Annual Calendar,Automatic,Rose gold,2024,New,5396R-015,"Original box, original papers","Hong Kong, Hong Kong",38.5 mm,"$72,899"
